region,sex,age,cases,fatalities,count,cases_pp,fatalities_pp
Bern-Mittelland,Male,10,1,0,1946,0.0005138746145940391,0.0
Bern-Mittelland,Male,12,1,0,1785,0.0005602240896358543,0.0
Bern-Mittelland,Male,14,2,0,1789,0.0011179429849077697,0.0
Bern-Mittelland,Male,16,1,0,1736,0.000576036866359447,0.0
Bern-Mittelland,Male,17,4,0,1768,0.0022624434389140274,0.0
Bern-Mittelland,Male,18,7,0,1825,0.0038356164383561643,0.0
Bern-Mittelland,Male,19,2,0,1884,0.0010615711252653928,0.0
Bern-Mittelland,Male,20,8,0,1931,0.004142931123770067,0.0
Bern-Mittelland,Male,21,8,0,2002,0.003996003996003996,0.0
Bern-Mittelland,Male,22,10,0,2166,0.0046168051708217915,0.0
Bern-Mittelland,Male,23,12,0,2228,0.005385996409335727,0.0
Bern-Mittelland,Male,24,4,0,2362,0.001693480101608806,0.0
Bern-Mittelland,Male,25,10,0,2448,0.004084967320261438,0.0
Bern-Mittelland,Male,26,8,0,2716,0.0029455081001472753,0.0
Bern-Mittelland,Male,27,6,0,2831,0.0021193924408336277,0.0
Bern-Mittelland,Male,28,5,0,3013,0.001659475605708596,0.0
Bern-Mittelland,Male,29,8,0,3012,0.0026560424966799467,0.0
Bern-Mittelland,Male,30,6,0,3093,0.0019398642095053346,0.0
Bern-Mittelland,Male,31,6,0,3046,0.001969796454366382,0.0
Bern-Mittelland,Male,32,8,0,3109,0.002573174654229656,0.0
Bern-Mittelland,Male,33,5,0,3092,0.0016170763260025874,0.0
Bern-Mittelland,Male,34,7,0,3121,0.002242870874719641,0.0
Bern-Mittelland,Male,35,9,0,3096,0.0029069767441860465,0.0
Bern-Mittelland,Male,36,8,0,3073,0.0026033192320208264,0.0
Bern-Mittelland,Male,37,10,0,3113,0.0032123353678123997,0.0
Bern-Mittelland,Male,38,9,0,3064,0.00293733681462141,0.0
Bern-Mittelland,Male,39,10,0,2947,0.0033932813030200203,0.0
Bern-Mittelland,Male,40,3,0,2889,0.0010384215991692627,0.0
Bern-Mittelland,Male,41,1,0,2832,0.00035310734463276836,0.0
Bern-Mittelland,Male,42,1,0,2833,0.00035298270384751147,0.0
Bern-Mittelland,Male,43,5,0,2728,0.0018328445747800588,0.0
Bern-Mittelland,Male,44,3,0,2753,0.0010897203051216855,0.0
Bern-Mittelland,Male,45,3,0,2746,0.0010924981791697013,0.0
Bern-Mittelland,Male,46,6,0,2831,0.0021193924408336277,0.0
Bern-Mittelland,Male,47,7,0,2857,0.002450122506125306,0.0
