Date,Bern-Mittelland,Biel/Bienne,Emmental,Interlaken-Oberhasli,Jura bernois,Oberaargau,Obersimmental-Saanen,Seeland,Thun,Total
2020-02-27,0,0,0,0,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0,0,0,0,0
2020-02-29,0,1,0,0,0,0,0,0,0,1
2020-03-01,0,1,0,0,0,0,0,0,0,1
2020-03-02,0,1,0,0,0,0,0,0,0,1
2020-03-03,0,1,0,0,0,0,0,0,0,1
2020-03-04,0,1,0,0,0,0,0,0,0,1
2020-03-05,0,1,0,0,0,0,0,0,0,1
2020-03-06,0,1,0,0,0,0,0,1,0,2
2020-03-07,0,1,0,0,0,0,0,1,0,2
2020-03-08,0,1,0,0,0,0,0,1,0,2
2020-03-09,0,1,0,0,0,0,0,1,0,2
2020-03-10,0,1,0,0,0,0,0,1,0,2
2020-03-11,0,2,0,0,0,0,0,1,0,3
2020-03-12,0,2,0,0,0,0,0,1,0,3
2020-03-13,0,2,0,0,1,0,0,1,0,4
2020-03-14,0,2,0,0,1,0,0,1,0,4
2020-03-15,0,2,0,0,1,0,0,1,0,4
2020-03-16,0,2,0,0,1,0,0,1,0,4
2020-03-17,2,3,0,0,1,0,0,1,0,7
2020-03-18,2,3,0,1,1,1,0,1,0,9
2020-03-19,2,4,0,1,1,1,0,1,0,10
2020-03-20,2,4,0,1,1,1,0,1,0,10
2020-03-21,3,4,0,1,1,1,1,2,0,13
2020-03-22,3,4,0,1,3,1,1,2,0,15
2020-03-23,4,4,1,1,3,1,1,2,0,17
2020-03-24,6,4,1,1,3,1,1,2,0,19
2020-03-25,6,4,1,1,3,2,1,2,1,21
2020-03-26,6,4,1,1,4,2,1,2,1,22
2020-03-27,6,4,1,1,6,2,2,2,1,25
2020-03-28,6,5,1,1,7,2,2,2,1,27
2020-03-29,7,5,1,1,7,2,2,2,1,28
2020-03-30,8,5,1,1,7,2,2,2,1,29
2020-03-31,8,5,1,1,8,2,2,2,1,30
2020-04-01,8,5,1,1,9,2,2,2,1,31
2020-04-02,8,5,1,1,9,2,2,2,1,31
2020-04-03,8,5,1,1,9,2,2,2,1,31
2020-04-04,8,5,1,1,9,2,2,2,1,31
2020-04-05,8,5,1,1,9,2,2,2,1,31
2020-04-06,8,5,1,1,9,2,2,2,1,31
2020-04-07,9,5,1,1,9,2,2,2,1,32
2020-04-08,10,5,1,1,9,2,2,2,1,33
2020-04-09,10,5,1,1,9,2,2,2,1,33
2020-04-10,10,5,1,2,9,2,2,2,1,34
2020-04-11,10,5,1,2,9,2,2,2,1,34
2020-04-12,10,5,1,2,9,2,2,2,1,34
2020-04-13,11,5,1,2,9,2,2,2,1,35
2020-04-14,12,5,1,2,9,3,2,2,1,37
2020-04-15,12,5,1,2,9,3,2,2,1,37
2020-04-16,13,5,1,2,9,3,2,2,1,38
2020-04-17,13,5,1,2,9,4,2,2,1,39
2020-04-18,13,5,1,2,9,4,2,2,1,39
2020-04-19,13,5,1,2,9,4,2,2,1,39
2020-04-20,13,5,1,2,9,4,2,2,1,39
2020-04-21,13,5,1,2,9,4,2,2,1,39
2020-04-22,13,5,1,2,9,4,2,2,1,39
2020-04-23,13,5,1,2,9,4,2,2,1,39
2020-04-24,13,5,1,2,9,4,2,2,1,39
2020-04-25,13,5,1,2,9,4,2,2,1,39
2020-04-26,13,5,1,2,9,4,2,2,1,39
2020-04-27,13,5,1,2,9,4,2,2,1,39
2020-04-28,13,5,1,2,9,4,2,2,1,39
2020-04-29,13,5,1,2,9,4,2,2,1,39
2020-04-30,13,5,1,2,9,4,2,2,1,39
2020-05-01,13,5,1,2,9,4,2,2,1,39
2020-05-02,13,5,1,2,9,4,2,2,1,39
2020-05-03,13,5,1,2,9,4,2,2,1,39
